Step,AgentID,Steps to fire up
50,"(16, 72)",12
50,"(16, 74)",10
50,"(16, 75)",11
50,"(16, 76)",11
50,"(16, 80)",-1
50,"(16, 81)",-1
50,"(16, 82)",-1
50,"(16, 83)",-1
50,"(16, 84)",-1
50,"(16, 86)",-1
50,"(16, 87)",-1
50,"(16, 88)",-1
50,"(16, 89)",-1
50,"(16, 90)",-1
50,"(16, 91)",-1
50,"(16, 92)",-1
50,"(16, 93)",-1
50,"(16, 94)",-1
50,"(16, 96)",-1
50,"(17, 2)",15
50,"(17, 3)",14
50,"(17, 7)",14
50,"(17, 8)",14
50,"(17, 9)",15
50,"(17, 10)",16
50,"(17, 11)",17
50,"(17, 12)",17
50,"(17, 13)",18
50,"(17, 15)",-1
50,"(17, 16)",-1
50,"(17, 17)",-1
50,"(17, 18)",-1
50,"(17, 19)",37
50,"(17, 20)",37
50,"(17, 21)",37
50,"(17, 22)",37
50,"(17, 23)",38
50,"(17, 29)",24
50,"(17, 32)",22
50,"(17, 33)",22
50,"(17, 34)",21
50,"(17, 36)",19
50,"(17, 37)",18
50,"(17, 42)",16
50,"(17, 43)",16
50,"(17, 45)",15
50,"(17, 46)",14
50,"(17, 47)",14
50,"(17, 48)",12
50,"(17, 49)",14
50,"(17, 50)",11
50,"(17, 51)",10
50,"(17, 53)",8
50,"(17, 54)",8
50,"(17, 55)",7
50,"(17, 56)",8
50,"(17, 57)",9
50,"(17, 59)",8
50,"(17, 60)",8
50,"(17, 61)",8
50,"(17, 62)",8
50,"(17, 63)",8
50,"(17, 66)",12
50,"(17, 68)",13
50,"(17, 70)",-1
50,"(17, 73)",11
50,"(17, 75)",11
50,"(17, 79)",-1
50,"(17, 80)",-1
50,"(17, 81)",-1
50,"(17, 84)",-1
50,"(17, 85)",-1
50,"(17, 88)",-1
50,"(17, 89)",-1
50,"(17, 91)",-1
50,"(17, 92)",-1
50,"(17, 93)",-1
50,"(17, 94)",-1
50,"(17, 96)",-1
50,"(17, 98)",-1
50,"(17, 99)",-1
50,"(18, 1)",18
50,"(18, 3)",16
50,"(18, 6)",14
50,"(18, 10)",16
50,"(18, 12)",18
50,"(18, 13)",18
50,"(18, 15)",-1
50,"(18, 17)",-1
50,"(18, 20)",36
50,"(18, 23)",-1
50,"(18, 24)",-1
50,"(18, 25)",-1
50,"(18, 29)",24
50,"(18, 31)",23
50,"(18, 32)",22
50,"(18, 36)",19
50,"(18, 38)",18
50,"(18, 39)",18
50,"(18, 40)",17
50,"(18, 41)",16
50,"(18, 42)",16
50,"(18, 47)",13
50,"(18, 49)",14
50,"(18, 51)",11
50,"(18, 52)",9
50,"(18, 57)",9
50,"(18, 60)",8
50,"(18, 61)",8
50,"(18, 62)",9
50,"(18, 63)",8
50,"(18, 65)",12
50,"(18, 66)",12
50,"(18, 67)",12
50,"(18, 69)",13
50,"(18, 73)",13
50,"(18, 74)",12
50,"(18, 75)",11
50,"(18, 77)",-1
50,"(18, 78)",-1
50,"(18, 79)",-1
50,"(18, 81)",-1
50,"(18, 84)",-1
50,"(18, 85)",-1
50,"(18, 86)",-1
50,"(18, 88)",-1
50,"(18, 89)",-1
50,"(18, 94)",-1
50,"(18, 95)",-1
50,"(18, 97)",-1
50,"(18, 98)",-1
50,"(18, 99)",-1
50,"(19, 1)",18
50,"(19, 2)",17
50,"(19, 3)",17
50,"(19, 4)",18
50,"(19, 5)",19
50,"(19, 6)",19
50,"(19, 7)",19
50,"(19, 8)",19
50,"(19, 9)",17
50,"(19, 10)",20
50,"(19, 11)",19
50,"(19, 13)",18
50,"(19, 15)",-1
50,"(19, 16)",-1
50,"(19, 20)",35
50,"(19, 21)",35
50,"(19, 24)",-1
50,"(19, 26)",-1
50,"(19, 27)",-1
50,"(19, 29)",22
50,"(19, 30)",23
50,"(19, 32)",23
50,"(19, 34)",20
50,"(19, 35)",19
50,"(19, 37)",19
50,"(19, 39)",18
50,"(19, 40)",17
50,"(19, 41)",16
50,"(19, 42)",16
50,"(19, 43)",18
50,"(19, 44)",18
50,"(19, 47)",14
50,"(19, 48)",14
50,"(19, 49)",15
50,"(19, 51)",10
50,"(19, 55)",12
50,"(19, 56)",11
50,"(19, 57)",10
50,"(19, 58)",10
50,"(19, 60)",9
50,"(19, 61)",9
50,"(19, 63)",9
50,"(19, 65)",11
50,"(19, 68)",14
50,"(19, 69)",14
50,"(19, 71)",16
50,"(19, 72)",17
50,"(19, 73)",13
50,"(19, 75)",12
50,"(19, 78)",-1
50,"(19, 80)",-1
50,"(19, 83)",-1
50,"(19, 84)",-1
50,"(19, 85)",-1
50,"(19, 86)",-1
50,"(19, 87)",-1
50,"(19, 88)",-1
50,"(19, 90)",-1
50,"(19, 91)",-1
50,"(19, 92)",-1
50,"(19, 95)",-1
50,"(19, 96)",-1
50,"(19, 97)",-1
50,"(20, 0)",18
50,"(20, 1)",18
50,"(20, 2)",18
50,"(20, 4)",18
50,"(20, 7)",19
50,"(20, 8)",18
50,"(20, 11)",19
50,"(20, 12)",19
50,"(20, 14)",-1
50,"(20, 16)",-1
50,"(20, 18)",35
50,"(20, 19)",35
50,"(20, 20)",35
50,"(20, 21)",35
50,"(20, 22)",36
50,"(20, 24)",-1
50,"(20, 26)",-1
50,"(20, 27)",-1
50,"(20, 28)",22
50,"(20, 29)",23
50,"(20, 30)",22
50,"(20, 33)",22
50,"(20, 35)",20
50,"(20, 38)",18
50,"(20, 43)",17
50,"(20, 45)",22
50,"(20, 47)",14
50,"(20, 48)",15
50,"(20, 49)",15
50,"(20, 50)",16
50,"(20, 55)",12
50,"(20, 58)",10
50,"(20, 59)",10
50,"(20, 61)",11
50,"(20, 62)",10
50,"(20, 64)",10
50,"(20, 67)",-1
50,"(20, 69)",14
50,"(20, 70)",15
